Date,Value
1960-12-31,1.61
1961-12-31,1.66
1962-12-31,1.71
1963-12-31,1.76
1964-12-31,1.81
1965-12-31,1.86
1966-12-31,1.91
1967-12-31,1.97
1968-12-31,2.02
1969-12-31,2.08
1970-12-31,2.14
1971-12-31,2.19
1972-12-31,2.24
1973-12-31,2.3
1974-12-31,2.35
1975-12-31,2.4
1976-12-31,2.46
1977-12-31,2.51
1978-12-31,2.57
1979-12-31,2.62
1980-12-31,2.67
1981-12-31,2.73
1982-12-31,2.78
1983-12-31,2.84
1984-12-31,2.9
1985-12-31,2.96
1986-12-31,3.02
1987-12-31,3.08
1988-12-31,3.14
1989-12-31,3.23
1990-12-31,3.29
1991-12-31,3.27
1992-12-31,3.25
1993-12-31,3.23
1994-12-31,3.21
1995-12-31,3.19
1996-12-31,3.17
1997-12-31,3.15
1998-12-31,3.13
1999-12-31,3.11
2000-12-31,3.09
2001-12-31,3.06
2002-12-31,3.05
2003-12-31,3.03
2004-12-31,3.01
2005-12-31,2.99
2006-12-31,2.97
2007-12-31,2.94
2008-12-31,2.91
2009-12-31,2.88
2010-12-31,2.86
2011-12-31,2.83
2012-12-31,2.8
2013-12-31,2.9
2014-12-31,2.9
